client_name,segment,service_status,invoice_amount,invoice_due_date,invoice_status
Next Partners 959,estandar,suspendido,26355.84,2026-03-12,pendiente
Prime Corp 755,estandar,activo,5376.94,2026-06-17,pendiente
Global LLC 721,grande,activo,22475.99,2026-03-08,pagada
Alpha Enterprises 495,zombi,activo,45000.22,2026-06-07,pagada
Prime Solutions 447,zombi,cancelado,36157.61,2026-03-16,pagada
Zenith Partners 557,startup,cancelado,12725.20,2026-01-17,pagada
Zenith Inc 557,startup,cancelado,31991.42,2026-02-27,pagada
Zenith Partners 525,zombi,cancelado,4201.47,2026-06-12,pendiente
Tech Enterprises 901,grande,suspendido,42323.51,2026-06-08,pendiente
Next Enterprises 62,startup,activo,7492.69,2025-12-20,pagada
Alpha Corp 984,estandar,activo,18985.46,2026-01-30,pendiente
Global Partners 778,startup,activo,11285.65,2026-01-14,pagada
Next LLC 194,zombi,cancelado,7953.83,2026-05-09,pendiente
Prime Group 67,estandar,cancelado,28957.59,2026-04-22,pendiente
Global Solutions 927,estandar,cancelado,31586.29,2026-06-08,pendiente
Alpha Partners 195,startup,cancelado,39937.02,2025-12-21,pendiente
Next Group 854,grande,cancelado,47957.77,2026-03-22,pagada
Core LLC 170,zombi,activo,42298.84,2026-02-10,pendiente
Next Partners 29,estandar,activo,49303.26,2026-02-14,anulada
Global Partners 778,startup,activo,28550.90,2026-01-21,anulada
Global Corp 376,startup,cancelado,24374.34,2026-03-06,anulada
Next Partners 902,estandar,activo,1964.25,2026-07-12,pagada
Core Inc 140,zombi,suspendido,19186.04,2026-04-07,pagada
Global Enterprises 648,startup,activo,2115.56,2026-04-26,pagada
Zenith Group 48,grande,suspendido,16048.89,2026-02-15,pendiente
Alpha Solutions 856,grande,suspendido,18376.23,2026-05-11,pendiente
Mega Solutions 128,grande,cancelado,22538.00,2026-04-24,pendiente
Alpha Solutions 920,grande,activo,10150.80,2026-02-11,pagada
Next Enterprises 273,zombi,suspendido,2290.94,2026-01-16,pendiente
Zenith Corp 70,startup,suspendido,11925.12,2026-03-31,pagada
Zenith Group 48,grande,suspendido,39132.57,2026-06-19,anulada
Prime Enterprises 949,startup,activo,34414.27,2026-06-11,anulada
Global LLC 721,grande,activo,48603.02,2026-04-17,pendiente
Mega LLC 223,grande,cancelado,26362.52,2026-01-07,pagada
Core Solutions 690,startup,activo,43430.43,2026-02-13,anulada
Zenith LLC 470,zombi,activo,31901.34,2026-03-17,pagada
Next Enterprises 62,startup,activo,23094.27,2026-03-17,pendiente
Core Group 111,zombi,suspendido,34687.19,2026-07-08,anulada
Tech Enterprises 901,grande,suspendido,8308.98,2026-04-29,pagada
Next Partners 902,estandar,activo,13448.08,2026-07-05,anulada
Core Group 416,startup,suspendido,4864.24,2026-02-16,pendiente
Core Corp 102,startup,activo,38065.94,2026-05-08,pendiente
Mega Solutions 128,grande,cancelado,12996.03,2026-05-10,pendiente
Mega LLC 223,grande,cancelado,22222.16,2026-01-02,anulada
Alpha Solutions 856,grande,suspendido,18502.71,2026-01-13,anulada
Alpha Group 782,zombi,activo,26189.06,2026-01-20,pendiente
Global LLC 986,startup,suspendido,48641.13,2026-03-24,pendiente
Mega LLC 119,estandar,suspendido,9152.32,2026-03-04,pendiente
Next Partners 959,estandar,suspendido,39710.99,2026-06-12,pendiente
Zenith Partners 525,zombi,cancelado,17677.84,2025-12-19,pagada
Alpha Group 921,estandar,suspendido,25136.89,2026-03-28,anulada
Alpha Partners 856,zombi,cancelado,19576.05,2026-07-12,pagada
Next Enterprises 62,startup,activo,37411.04,2026-05-16,pagada
Tech Partners 880,startup,cancelado,3581.46,2026-04-16,anulada
Alpha Partners 856,zombi,cancelado,18099.65,2026-05-03,pagada
Prime Corp 755,estandar,activo,13011.06,2026-07-05,pendiente
Alpha Solutions 856,grande,suspendido,25058.46,2025-12-31,pendiente
Prime Inc 662,zombi,cancelado,6672.04,2026-03-13,pagada
Next Enterprises 273,zombi,suspendido,25529.49,2026-05-16,anulada
Mega Solutions 128,grande,cancelado,31650.58,2026-06-18,pendiente
Global LLC 125,grande,activo,1161.75,2026-03-31,pagada
Tech Enterprises 901,grande,suspendido,25877.06,2026-02-28,pendiente
Core Group 604,grande,suspendido,18880.90,2026-02-01,pendiente
Core Group 416,startup,suspendido,45821.63,2026-07-03,vencida
Core Inc 100,estandar,suspendido,39195.77,2026-04-09,pendiente
Next Partners 29,estandar,activo,13151.69,2026-06-12,pendiente
Tech Partners 48,zombi,activo,25158.34,2026-03-15,pagada
Core Partners 4,startup,suspendido,11358.45,2026-01-13,pendiente
Tech Partners 48,zombi,activo,12922.87,2026-04-27,pendiente
Next Partners 29,estandar,activo,23046.18,2026-06-09,anulada
Mega Partners 593,estandar,suspendido,37838.91,2025-12-30,pendiente
Prime Enterprises 949,startup,activo,34691.58,2026-04-18,pendiente
Next Partners 234,grande,cancelado,7425.73,2026-02-12,pendiente
Alpha Solutions 538,zombi,suspendido,48520.72,2026-02-03,anulada
Next Partners 140,startup,suspendido,47501.13,2026-04-04,pendiente
Mega Group 291,startup,cancelado,5447.41,2026-04-04,pendiente
Zenith Corp 563,startup,cancelado,35740.09,2026-01-15,pendiente
Global Group 892,grande,cancelado,39737.48,2026-05-28,pagada
Mega Inc 770,startup,suspendido,19985.60,2025-12-28,pendiente
Prime Enterprises 123,estandar,cancelado,7429.02,2026-04-30,pendiente
Prime Group 67,estandar,cancelado,48034.38,2026-05-29,pagada
Global Solutions 927,estandar,cancelado,46202.43,2026-06-06,pendiente
Zenith Partners 525,zombi,cancelado,38733.04,2026-03-31,anulada
Alpha Partners 726,estandar,suspendido,26770.88,2026-01-03,anulada
Core Solutions 690,startup,activo,37220.48,2025-12-27,anulada
Core Solutions 570,zombi,activo,31473.80,2026-02-28,pendiente
Global Group 81,grande,activo,39286.10,2026-03-19,anulada
Next Partners 234,grande,cancelado,48497.05,2026-06-02,anulada
Core LLC 170,zombi,activo,10513.37,2026-05-10,pendiente
Core Inc 846,grande,activo,46584.58,2026-02-27,anulada
Core Corp 102,startup,activo,44559.01,2026-01-22,pagada
Core Inc 100,estandar,suspendido,12467.86,2026-03-29,anulada
Tech Enterprises 901,grande,suspendido,18719.93,2025-12-29,pendiente
Tech LLC 44,grande,cancelado,27570.80,2026-06-03,anulada
Zenith Partners 557,startup,cancelado,42819.99,2026-04-08,anulada
Mega Solutions 128,grande,cancelado,42141.18,2026-06-18,pagada
Core Inc 140,zombi,suspendido,28462.02,2026-06-05,pendiente
Tech Group 907,grande,suspendido,37224.92,2026-07-05,anulada
Zenith Corp 563,startup,cancelado,36757.16,2026-05-14,pendiente
Zenith LLC 470,zombi,activo,48201.93,2026-05-26,pendiente
Mega Partners 207,estandar,suspendido,3522.54,2026-03-27,pendiente
Global LLC 986,startup,suspendido,43578.14,2026-06-01,pagada
Alpha Solutions 113,estandar,cancelado,28185.11,2026-01-21,pendiente
Zenith Corp 70,startup,suspendido,28867.08,2026-05-27,anulada
Next Corp 838,estandar,activo,34427.47,2026-05-09,pendiente
Alpha Solutions 812,startup,suspendido,35562.07,2026-01-26,pagada
Global LLC 125,grande,activo,37289.99,2026-01-30,pendiente
Alpha Corp 111,zombi,activo,556.39,2026-03-02,pagada
Prime Enterprises 949,startup,activo,39133.22,2026-05-22,pendiente
Global Inc 238,startup,activo,692.45,2026-06-21,pagada
Next Partners 959,estandar,suspendido,19538.00,2026-01-07,anulada
Next Enterprises 62,startup,activo,28804.70,2026-04-30,pagada
Zenith LLC 46,startup,suspendido,9089.93,2026-05-29,pendiente
Mega Partners 260,zombi,activo,14941.70,2026-07-08,pendiente
Prime Corp 755,estandar,activo,46841.91,2026-05-03,pagada
Next Corp 838,estandar,activo,43885.04,2025-12-26,anulada
Core Inc 100,estandar,suspendido,27002.16,2026-03-03,pendiente
Core Group 604,grande,suspendido,23610.13,2026-04-24,pagada
Global Partners 170,startup,activo,35663.04,2026-02-03,anulada
Mega Partners 207,estandar,suspendido,6179.70,2026-04-26,pendiente
Next Partners 902,estandar,activo,35271.53,2026-06-09,anulada
Global Group 391,startup,cancelado,23336.01,2026-06-04,anulada
Next Group 672,estandar,cancelado,8213.23,2026-03-25,anulada
Prime Group 830,zombi,cancelado,25803.18,2026-06-29,anulada
Core Partners 938,estandar,suspendido,18254.61,2026-01-23,pendiente
Next Partners 909,startup,cancelado,49337.54,2025-12-24,anulada
Next Partners 234,grande,cancelado,31127.51,2026-05-14,pagada
Prime Partners 471,startup,suspendido,16245.23,2026-01-06,pendiente
Prime Solutions 447,zombi,cancelado,10339.70,2026-04-06,pendiente
Mega Solutions 128,grande,cancelado,16965.40,2025-12-20,pendiente
Tech Enterprises 901,grande,suspendido,40633.21,2026-02-14,pendiente
Tech Partners 48,zombi,activo,6312.97,2026-03-24,pendiente
Zenith Inc 190,grande,cancelado,31959.94,2026-06-20,pendiente
Tech Group 907,grande,suspendido,37837.00,2026-06-21,pagada
Alpha LLC 227,grande,cancelado,16890.36,2026-02-17,pendiente
Alpha Solutions 538,zombi,suspendido,18604.97,2026-02-20,pendiente
Next Enterprises 273,zombi,suspendido,28302.00,2026-01-23,anulada
Core Corp 102,startup,activo,46689.51,2025-12-26,pendiente
Global Enterprises 648,startup,activo,23017.98,2026-07-14,anulada
Tech Partners 48,zombi,activo,13135.22,2026-03-23,anulada
Prime Partners 471,startup,suspendido,46768.02,2026-05-14,pendiente
Global LLC 721,grande,activo,16403.38,2026-04-06,pendiente
Zenith Inc 190,grande,cancelado,18359.60,2025-12-19,pendiente
Global Group 81,grande,activo,2334.93,2025-12-26,pendiente
Core Solutions 690,startup,activo,12216.67,2026-06-16,pagada
Zenith Group 445,grande,cancelado,14973.41,2026-02-23,pendiente
Alpha Group 921,estandar,suspendido,47084.12,2026-06-11,pagada
Tech Enterprises 901,grande,suspendido,27751.33,2026-05-27,pendiente
Zenith Corp 563,startup,cancelado,15013.73,2026-04-14,anulada
Alpha Solutions 920,grande,activo,35130.89,2026-06-27,pendiente
Prime Group 830,zombi,cancelado,13566.59,2026-03-26,pendiente
Mega Enterprises 672,estandar,activo,14147.65,2026-01-08,pendiente
Mega Corp 4,startup,cancelado,4302.18,2026-01-18,pagada
Alpha Partners 195,startup,cancelado,11128.17,2026-05-22,anulada
Prime Enterprises 949,startup,activo,45793.15,2026-06-15,pagada
Next Enterprises 273,zombi,suspendido,36489.26,2026-06-05,pendiente
Core Inc 846,grande,activo,12227.27,2026-05-06,anulada
Global Group 391,startup,cancelado,26541.62,2026-04-19,pendiente
Mega Solutions 128,grande,cancelado,39162.76,2026-01-21,pagada
Mega LLC 58,estandar,activo,46215.98,2026-06-13,anulada
Mega Corp 4,startup,cancelado,35194.98,2026-04-13,pendiente
Alpha Solutions 920,grande,activo,38816.66,2026-02-20,pendiente
Zenith Group 48,grande,suspendido,39429.15,2026-02-15,pendiente
Next Partners 909,startup,cancelado,23736.18,2026-02-27,anulada
Alpha Partners 195,startup,cancelado,17025.31,2026-01-24,pendiente
Prime Enterprises 123,estandar,cancelado,48398.32,2026-03-21,pagada
Mega Solutions 128,grande,cancelado,6957.62,2026-05-09,pagada
Prime Enterprises 949,startup,activo,7300.49,2025-12-19,pendiente
Prime Partners 471,startup,suspendido,35577.40,2026-06-13,anulada
Next LLC 194,zombi,cancelado,44202.93,2026-02-28,pendiente
Next LLC 199,startup,suspendido,7818.81,2026-01-05,anulada
Global Group 391,startup,cancelado,23007.15,2026-01-08,anulada
Alpha Group 921,estandar,suspendido,37458.88,2026-02-03,pendiente
Global Partners 170,startup,activo,15945.55,2026-05-03,anulada
Global Group 391,startup,cancelado,27475.27,2026-07-03,anulada
Tech Partners 48,zombi,activo,20943.95,2025-12-18,pendiente
Next LLC 199,startup,suspendido,29495.46,2026-05-11,anulada
Mega Partners 260,zombi,activo,2924.34,2026-06-13,pendiente
Global Enterprises 439,zombi,cancelado,7070.65,2026-03-23,pendiente
Prime Enterprises 123,estandar,cancelado,4996.31,2026-04-02,pagada
Global Group 81,grande,activo,16944.37,2026-04-22,pendiente
Next Partners 140,startup,suspendido,45438.60,2026-03-31,pagada
Tech Enterprises 901,grande,suspendido,4648.84,2026-06-29,vencida
Global Partners 778,startup,activo,46399.82,2026-06-20,vencida
Alpha Partners 726,estandar,suspendido,233.49,2026-02-12,pagada
Core Corp 102,startup,activo,10860.36,2026-02-10,pagada
Mega LLC 119,estandar,suspendido,21361.40,2026-03-18,anulada
Core LLC 170,zombi,activo,44040.56,2026-01-02,pendiente
Global Group 81,grande,activo,7765.28,2026-04-02,pendiente
Next Enterprises 62,startup,activo,43021.73,2026-06-19,vencida
Global Corp 376,startup,cancelado,38288.58,2026-05-13,pendiente
Mega Partners 207,estandar,suspendido,44976.68,2026-03-20,pendiente
Mega Group 291,startup,cancelado,34854.58,2026-02-27,pagada
Zenith Group 48,grande,suspendido,34154.80,2026-04-30,pendiente
Prime Group 67,estandar,cancelado,24375.95,2026-06-08,anulada
Prime Inc 662,zombi,cancelado,46551.45,2026-02-27,anulada
Tech Partners 48,zombi,activo,24039.27,2026-01-20,pendiente
Core LLC 170,zombi,activo,4183.95,2026-06-23,pagada
Prime Group 67,estandar,cancelado,1282.34,2026-02-13,pendiente
Alpha Solutions 812,startup,suspendido,14667.06,2026-05-07,anulada
Zenith LLC 46,startup,suspendido,2224.79,2026-05-22,anulada
Zenith Group 445,grande,cancelado,11516.84,2026-06-28,anulada
Alpha Partners 856,zombi,cancelado,37288.11,2026-06-14,anulada
Zenith LLC 470,zombi,activo,44438.13,2026-04-25,anulada
Core LLC 170,zombi,activo,10954.09,2026-05-27,pendiente
Global Solutions 688,zombi,cancelado,25830.42,2026-02-19,pendiente
Core Corp 102,startup,activo,44781.25,2026-06-05,pendiente
Tech Partners 261,startup,suspendido,4575.90,2026-02-18,pagada
Core LLC 170,zombi,activo,44192.81,2026-02-27,anulada
Alpha LLC 227,grande,cancelado,1119.20,2026-03-07,pagada
Alpha Solutions 856,grande,suspendido,22446.06,2025-12-24,anulada
Tech Partners 48,zombi,activo,13152.99,2026-01-16,pagada
Mega LLC 58,estandar,activo,40976.53,2026-04-10,anulada
Prime Group 830,zombi,cancelado,22367.71,2026-01-08,pagada
Core Inc 100,estandar,suspendido,19063.56,2026-04-28,anulada
Next Enterprises 62,startup,activo,7860.09,2026-03-01,anulada
Zenith Partners 557,startup,cancelado,35648.30,2026-02-12,anulada
Zenith Partners 557,startup,cancelado,22162.66,2026-01-18,pagada
Mega Partners 207,estandar,suspendido,28039.23,2026-04-11,pendiente
Core Inc 140,zombi,suspendido,25468.27,2026-01-03,anulada
Global Partners 170,startup,activo,2086.53,2026-03-06,pendiente
Alpha Partners 726,estandar,suspendido,33256.83,2025-12-24,anulada
